goos: darwin
goarch: arm64
pkg: gotypes/lessons/journey
cpu: Apple M1 Pro
BenchmarkJourney/FindCheap/concrete         	  788737	       280.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/concrete         	  682544	       158.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/concrete         	  725512	       166.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindMath/concrete          	    6691	     21266 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/concrete          	    5664	     19568 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/concrete          	    7171	     21421 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/Sum/concrete               	    3150	     38494 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/concrete               	    3942	     33537 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/concrete               	    3584	     33507 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Filter/concrete            	   10000	     13758 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/concrete            	    7794	     14001 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/concrete            	   10000	     14094 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/FindCheap/closure          	  868960	       135.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/closure          	  912547	       137.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/closure          	  844004	       138.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindMath/closure           	    6327	     19331 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/closure           	    7712	     18944 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/closure           	    7779	     25382 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/Sum/closure                	    3853	     33432 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/closure                	    4047	     32464 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/closure                	    4224	     32224 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Filter/closure             	   10000	     14667 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/closure             	   10000	     13997 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/closure             	   10000	     13878 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/FindCheap/interface        	  597026	       247.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkJourney/FindCheap/interface        	  585294	       213.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkJourney/FindCheap/interface        	  618250	       218.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkJourney/FindMath/interface         	    7630	     19460 ns/op	   19488 B/op	     897 allocs/op
BenchmarkJourney/FindMath/interface         	    7826	     19739 ns/op	   19488 B/op	     897 allocs/op
BenchmarkJourney/FindMath/interface         	    7504	     19335 ns/op	   19488 B/op	     897 allocs/op
BenchmarkJourney/Sum/interface              	    4048	     32788 ns/op	   31163 B/op	    1276 allocs/op
BenchmarkJourney/Sum/interface              	    4089	     32996 ns/op	   31163 B/op	    1276 allocs/op
BenchmarkJourney/Sum/interface              	    4365	     33588 ns/op	   31163 B/op	    1276 allocs/op
BenchmarkJourney/Filter/interface           	   10000	     13486 ns/op	   15424 B/op	     578 allocs/op
BenchmarkJourney/Filter/interface           	   10000	     19169 ns/op	   15424 B/op	     578 allocs/op
BenchmarkJourney/Filter/interface           	   10000	     13918 ns/op	   15424 B/op	     578 allocs/op
BenchmarkJourney/FindCheap/empty-interface  	   84723	      1379 ns/op	    2176 B/op	      65 allocs/op
BenchmarkJourney/FindCheap/empty-interface  	   89881	      1325 ns/op	    2176 B/op	      65 allocs/op
BenchmarkJourney/FindCheap/empty-interface  	   93139	      1385 ns/op	    2176 B/op	      65 allocs/op
BenchmarkJourney/FindMath/empty-interface   	    6024	     21313 ns/op	   21633 B/op	     961 allocs/op
BenchmarkJourney/FindMath/empty-interface   	    7344	     20315 ns/op	   21633 B/op	     961 allocs/op
BenchmarkJourney/FindMath/empty-interface   	    7119	     21807 ns/op	   21633 B/op	     961 allocs/op
BenchmarkJourney/Sum/empty-interface        	    3639	     35271 ns/op	   34331 B/op	    1405 allocs/op
BenchmarkJourney/Sum/empty-interface        	    3594	     34832 ns/op	   34331 B/op	    1405 allocs/op
BenchmarkJourney/Sum/empty-interface        	    3855	     36764 ns/op	   34331 B/op	    1405 allocs/op
BenchmarkJourney/Filter/empty-interface     	    9798	     15682 ns/op	   18688 B/op	     643 allocs/op
BenchmarkJourney/Filter/empty-interface     	    9555	     15338 ns/op	   18688 B/op	     643 allocs/op
BenchmarkJourney/Filter/empty-interface     	    9502	     15343 ns/op	   18688 B/op	     643 allocs/op
BenchmarkJourney/FindCheap/reflection       	   10000	     11859 ns/op	    4184 B/op	     193 allocs/op
BenchmarkJourney/FindCheap/reflection       	   10000	     11755 ns/op	    4184 B/op	     193 allocs/op
BenchmarkJourney/FindCheap/reflection       	   10000	     12338 ns/op	    4184 B/op	     193 allocs/op
BenchmarkJourney/FindMath/reflection        	    4184	     33172 ns/op	   24089 B/op	    1089 allocs/op
BenchmarkJourney/FindMath/reflection        	    4128	     33326 ns/op	   24089 B/op	    1089 allocs/op
BenchmarkJourney/FindMath/reflection        	    4170	     33766 ns/op	   24089 B/op	    1089 allocs/op
BenchmarkJourney/Sum/reflection             	    2583	     50373 ns/op	   36275 B/op	    1469 allocs/op
BenchmarkJourney/Sum/reflection             	    2583	     49821 ns/op	   36275 B/op	    1469 allocs/op
BenchmarkJourney/Sum/reflection             	    2517	     49890 ns/op	   36275 B/op	    1469 allocs/op
BenchmarkJourney/Filter/reflection          	    4612	     31829 ns/op	   21553 B/op	     835 allocs/op
BenchmarkJourney/Filter/reflection          	    4694	     31200 ns/op	   21553 B/op	     835 allocs/op
BenchmarkJourney/Filter/reflection          	    4518	     31311 ns/op	   21553 B/op	     835 allocs/op
BenchmarkJourney/FindCheap/generation       	  792013	       150.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/generation       	  763924	       150.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/generation       	  797474	       150.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindMath/generation        	    6974	     18998 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/generation        	    7604	     19402 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/generation        	    7816	     19558 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/Sum/generation             	    4017	     33443 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/generation             	    3873	     34103 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/generation             	    4153	     33031 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Filter/generation          	   10000	     13861 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/generation          	   10000	     13887 ns/op	   15360 B/op	     577 allocs/op
